Name,Address,Phone,Website,Rating,PriceLevel,Types,Hours,PlaceId,Latitude,Longitude
Santa Cruz Beach Yoga,"514 Cliff St, Santa Cruz, CA 95060, USA",(310) 699-3018,,,,establishment; gym; health; point_of_interest,Monday: 9:00 AM – 8:00 PM; Tuesday: 9:00 AM – 8:00 PM; Wednesday: 9:00 AM – 8:00 PM; Thursday: 9:00 AM – 8:00 PM; Friday: 8:30 AM – 7:00 PM; Saturday: 8:30 AM – 4:00 PM; Sunday: 8:30 AM – 12:00 PM,ChIJsfk6B5xqjoARV4n8UaoMEcc,36.9676904,-122.0215007
Source Wellness,"740 Front St # 250, Santa Cruz, CA 95060, USA",(831) 566-8973,,,,establishment; gym; health; point_of_interest,,ChIJdWCRcyZAjoARN5NTeUaeqQE,36.9753062,-122.0252531
SOL Santa Cruz,"1510 Seabright Ave, Santa Cruz, CA 95062, USA",(831) 425-3588,https://solsantacruz.net/,4.8,,establishment; gym; health; physiotherapist; point_of_interest,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 12:30 PM; Saturday: Closed; Sunday: Closed,ChIJzWa_0h1AjoARrNgNErubZ0U,36.9780005,-122.009378
Holistic Women's Wellness,"5905 Soquel Dr #200, Soquel, CA 95073, USA",(831) 419-7552,http://www.holisticwomenswellness.com/,5,,establishment; gym; health; point_of_interest,Monday: 11:00 AM – 7:00 PM; Tuesday: 11:00 AM – 7:00 PM; Wednesday: 11:00 AM – 7:00 PM; Thursday: 11:00 AM – 7:00 PM; Friday: 11:00 AM – 7:00 PM; Saturday: Closed; Sunday: 11:00 AM – 6:00 PM,ChIJz2HdO5AVjoAR2BNIW9wtysI,36.9889399,-121.9368749
Body & Soul - A Salon For The Healing Arts,"738 Chestnut St, Santa Cruz, CA 95060, USA",(831) 459-8613,,5,,establishment; gym; health; physiotherapist; point_of_interest,,ChIJne8OGy9AjoAReoFVVZk9GYI,36.9760365,-122.0293825
Coastline Pilates,"406 Mission St # B, Santa Cruz, CA 95060, USA",(831) 281-4058,http://www.coastlinepilates.com/,5,,establishment; gym; health; point_of_interest,,ChIJV_dL0S1AjoARbFiI-vWklIE,36.9761374,-122.0330142
Holy Cross School Gym,"170 High St, Santa Cruz, CA 95060, USA",(831) 469-3560,http://www.holycsc.org/,4.2,,establishment; gym; health; point_of_interest,Monday: 8:00 AM – 4:00 PM; Tuesday: 8:00 AM – 4:00 PM; Wednesday: 8:00 AM – 4:00 PM; Thursday: 8:00 AM – 4:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,ChIJ8ZY03jFAjoARLYegC71up90,36.9788848,-122.0311107
Curves,"223 River St, Santa Cruz, CA 95060, USA",(831) 465-8228,https://www.curves.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-santa-cruz-ca,5,,establishment; gym; health; point_of_interest,"Monday: 6:30 AM – 1:00 PM, 4:00 – 6:00 PM; Tuesday: Closed; Wednesday: 6:30 AM – 1:00 PM, 4:00 – 6:00 PM; Thursday: 4:00 – 6:00 PM; Friday: 6:30 AM – 1:00 PM; Saturday: Closed; Sunday: Closed",ChIJr6Fziy9AjoARTO3ysO3tJeU,36.97903400000001,-122.0277557
Mavericks Fitness,"311 Soquel Ave, Santa Cruz, CA 95062, USA",(831) 854-7710,https://mavfit.com/,4.9,,establishment; gym; health; point_of_interest,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 8:00 AM – 4:00 PM; Sunday: 8:00 AM – 2:00 PM,ChIJAekvsH1qjoARehHVTykBP7U,36.9742313,-122.0211597
BodyFit Santa Cruz,"546 Palm St, Santa Cruz, CA 95060, USA",(831) 465-4728,http://www.bodyfitsantacruz.com/,5,,establishment; gym; health; point_of_interest,Monday: 5:30 AM – 7:00 PM; Tuesday: 5:30 AM – 7:00 PM; Wednesday: 5:30 AM – 7:00 PM; Thursday: 5:30 AM – 7:00 PM; Friday: 5:30 AM – 7:00 PM; Saturday: 7:00 – 10:30 AM; Sunday: Closed,ChIJT-mUCH9qjoARIyThdm7jFMw,36.9642411,-122.0413787
Chaminade Resort & Spa,"1 Chaminade Ln, Santa Cruz, CA 95065, USA",(831) 475-5600,https://www.chaminade.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.1,,bar; establishment; food; lodging; point_of_interest; restaurant; spa,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJecF-z_M_joARyM0lBOpyYJw,36.9964287,-121.985197
April Rose Skin Care,"555 Soquel Ave #360, Santa Cruz, CA 95062, USA",(831) 818-9268,https://www.aprilroseskincare.biz/,4.8,,establishment; health; point_of_interest; spa,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,ChIJcW29vCFAjoARgM4smEZxeQ4,36.9764734,-122.0174416
Center for Health,"555 Soquel Ave, Santa Cruz, CA 95062, USA",(831) 457-0904,http://www.centerforhealthsc.com/,4.7,,establishment; health; point_of_interest; spa,,ChIJ1ZcyuiFAjoARh64enRDo8n8,36.9764652,-122.0174072
RSMD Medical Aesthetics (by Rebecca Small MD),"828 Bay Ave, Capitola, CA 95010, USA",(831) 475-1077,https://rsmdmedspa.com/,4.9,,beauty_salon; establishment; hair_care; health; point_of_interest; spa; store,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,ChIJlzldh3AVjoARy3mS5WSfNtU,36.9820003,-121.9559764
Tea House Spa,"112 Elm St, Santa Cruz, CA 95060, USA",(831) 426-9700,https://www.teahousespa.com/book-now,4.5,,establishment; point_of_interest; spa,Monday: 10:00 AM – 10:00 PM; Tuesday: 12:30 – 7:00 PM; Wednesday: 12:30 – 7:00 PM; Thursday: 10:00 AM – 10:00 PM; Friday: 10:00 AM – 10:00 PM; Saturday: 10:00 AM – 10:00 PM; Sunday: 10:00 AM – 10:00 PM,ChIJRXVj8SdAjoAR3Tld2qOa-2s,36.9710015,-122.025803
Well Within Spa,"417 Cedar St, Santa Cruz, CA 95060, USA",(831) 458-9355,http://www.wellwithinspa.com/,4.7,,beauty_salon; establishment; point_of_interest; spa,Monday: 10:00 AM – 11:00 PM; Tuesday: 10:00 AM – 11:00 PM; Wednesday: 10:00 AM – 11:00 PM; Thursday: 10:00 AM – 11:00 PM; Friday: 10:00 AM – 11:00 PM; Saturday: 10:00 AM – 11:00 PM; Sunday: 10:00 AM – 11:00 PM,ChIJPxMs_idAjoAR_Cq2WqMMcsc,36.9705252,-122.0269068
Body Resultz Skin Care,"1001 Center St #3, Santa Cruz, CA 95060, USA",(831) 320-6663,http://www.bodyresultz.com/,4.7,,beauty_salon; establishment; hair_care; health; point_of_interest; spa,Monday: 11:00 AM – 4:00 PM; Tuesday: 11:00 AM – 4:00 PM; Wednesday: 11:00 AM – 4:00 PM; Thursday: 11:00 AM – 4:00 PM; Friday: 11:00 AM – 4:00 PM; Saturday: 11:00 AM – 3:30 PM; Sunday: 11:00 AM – 3:00 PM,ChIJ0SbIFy9AjoAR6PzLvwkC5gQ,36.976062,-122.0289976
"Elizabeth Van Buren, Inc.","303 Potrero St Unit 7, Santa Cruz, CA 95060, USA",(831) 425-8218,http://elizabethvanburen.com/,5,,beauty_salon; establishment; health; point_of_interest; spa; store,Monday: 10:00 AM – 4:00 AM; Tuesday: 10:00 AM – 4:00 AM; Wednesday: 10:00 AM – 4:00 AM; Thursday: 10:00 AM – 4:00 AM; Friday: Closed; Saturday: Closed; Sunday: Closed,ChIJ9dcKazFAjoARxgZLTLP7FVs,36.9820198,-122.0313483
Essentia Body Therapy,"556 Ocean View Ave, Santa Cruz, CA 95062, USA",(831) 454-8312,http://www.essentiabodytherapy.com/,4.9,,clothing_store; establishment; health; point_of_interest; spa; store,Monday: Closed; Tuesday: 11:00 AM – 6:00 PM; Wednesday: 11:00 AM – 6:00 PM; Thursday: 9:00 AM – 9:00 PM; Friday: 9:00 AM – 9:00 PM; Saturday: 9:00 AM – 9:00 PM; Sunday: 11:00 AM – 6:00 PM,ChIJ_yEGoR9AjoARKzz8zTYWbzk,36.976252,-122.016555
Tranquille Spa,"3233 Valencia Ave B6, Aptos, CA 95003, USA",(831) 688-7750,https://go.booker.com/location/tranquillespa/service-menu,4.5,,beauty_salon; establishment; hair_care; point_of_interest; spa,Monday: 10:00 AM – 7:00 PM; Tuesday: 10:00 AM – 7:00 PM; Wednesday: 10:00 AM – 7:00 PM; Thursday: 10:00 AM – 7:00 PM; Friday: 10:00 AM – 7:00 PM; Saturday: 10:00 AM – 5:00 PM; Sunday: 10:00 AM – 5:00 PM,ChIJ-emgW9AVjoARFP3GQ9xrjCA,36.9772129,-121.8864564
MonaVie,"750 Valencia Rd, Aptos, CA 95003, USA",(831) 688-8118,,,,establishment; food; health; point_of_interest; spa; store,,ChIJqer3-mYWjoAR1vY101taKws,36.98176400000001,-121.88246
Santa Cruz Thread,"1010 Fair Ave suite a, Santa Cruz, CA 95060, USA",(831) 430-8188,http://www.santacruzthread.com/,4.6,,beauty_salon; establishment; hair_care; health; point_of_interest; spa,Monday: 8:30 AM – 8:00 PM; Tuesday: 8:30 AM – 8:00 PM; Wednesday: 8:30 AM – 8:00 PM; Thursday: 8:30 AM – 8:00 PM; Friday: 8:30 AM – 8:00 PM; Saturday: 8:30 AM – 8:00 PM; Sunday: 8:30 AM – 8:00 PM,ChIJcQhyTiZAjoAR4uR34Uox1oc,36.95899620000001,-122.0453145
Yoso Wellness Spa,"740 Front St #110, Santa Cruz, CA 95060, USA",(831) 600-8053,https://www.yosowellness.com/,4.8,,beauty_salon; establishment; hair_care; health; point_of_interest; spa,Monday: 9:30 AM – 5:00 PM; Tuesday: 9:30 AM – 7:00 PM; Wednesday: 9:30 AM – 7:00 PM; Thursday: 9:30 AM – 7:00 PM; Friday: 9:30 AM – 5:00 PM; Saturday: 9:30 AM – 5:00 PM; Sunday: Closed,ChIJieYAKDdAjoARxUMZa9OubFQ,36.97533110000001,-122.0251066
Astounding Results,"720 Capitola Ave #D, Capitola, CA 95010, USA",(831) 706-1107,http://www.astoundingresults.net/,,,beauty_salon; establishment; point_of_interest; spa,Monday: 8:30 AM – 8:30 PM; Tuesday: 8:30 AM – 8:30 PM; Wednesday: 8:30 AM – 8:30 PM; Thursday: 8:30 AM – 8:30 PM; Friday: 8:30 AM – 8:30 PM; Saturday: 10:00 AM – 3:00 PM; Sunday: Closed,ChIJ28sv1HYVjoARHd81hB_wmDs,36.9804582,-121.9525041
A Room of Her Own,"720 Capitola Ave #D, Capitola, CA 95010, USA",(831) 687-0591,https://www.aroomofherown.com/,5,,beauty_salon; establishment; point_of_interest; spa,,ChIJT-FWTWIWjoARmhx7zPnh4DQ,36.9804602,-121.9524881
BellaDawna Esthetics Artistry & Care,"4839 Soquel Dr, Soquel, CA 95073, USA",(831) 688-3203,http://www.belladawnaesthetics.com/,4.8,,establishment; point_of_interest; spa,Monday: Closed; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 11:00 AM – 7:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: Closed,ChIJe9mCeNwVjoARiHJDAnM1S5I,36.98882650000001,-121.9552365
Divine Skin Etc,"2602 Portola Dr, Santa Cruz, CA 95062, USA",(831) 234-9168,http://divineskinetc.com/,5,,beauty_salon; establishment; hair_care; health; point_of_interest; spa,Monday: 10:00 AM – 6:00 PM; Tuesday: Closed; Wednesday: 10:00 AM – 7:00 PM; Thursday: 10:00 AM – 7:00 PM; Friday: 10:00 AM – 5:00 PM; Saturday: 10:00 AM – 5:00 PM; Sunday: 10:00 AM – 5:00 PM,ChIJjQhTxD4VjoARw9rlVm93ZrI,36.9630448,-121.9754131
Lotus Holistic Health Institute,"4245 Capitola Rd STE 103, Capitola, CA 95010, USA",(831) 566-0735,http://www.lotusayurveda.com/,5,,establishment; health; point_of_interest; spa,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,ChIJ1dToSGwVjoARtVKkX6ddqdk,36.974013,-121.962233
Pacific Coast Manor,"1935 Wharf Rd, Capitola, CA 95010, USA",(831) 476-0770,http://www.paccoastmanor.com/,4.2,,establishment; health; physiotherapist; point_of_interest,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,ChIJ1Rxz7XEVjoARM9UZVWx0b6c,36.97738359999999,-121.957923
Kihorany Gaye,"2025 Soquel Ave, Santa Cruz, CA 95062, USA",(831) 423-4111,http://www.pamf.org/,,,establishment; health; physiotherapist; point_of_interest,,ChIJ03I5ZgFAjoARfqdWYh1HJ_o,36.9822811,-121.9977404
Quinn Stella,"2025 Soquel Ave, Santa Cruz, CA 95062, USA",(831) 423-4111,http://www.pamf.org/,,,establishment; health; physiotherapist; point_of_interest,,ChIJ03I5ZgFAjoARiDfRv8Wmm9o,36.9822811,-121.9977404
Gonzales David,"2025 Soquel Ave, Santa Cruz, CA 95062, USA",(831) 423-4111,http://www.pamf.org/,,,establishment; health; physiotherapist; point_of_interest,,ChIJ03I5ZgFAjoAR9-XDu1qtK74,36.9822811,-121.9977404
Radcliffe Judith,"2025 Soquel Ave, Santa Cruz, CA 95062, USA",(831) 423-4111,http://www.pamf.org/,,,establishment; health; physiotherapist; point_of_interest,,ChIJ03I5ZgFAjoAR4_-sAoPmpbA,36.9822811,-121.9977404
Surber Mark,"2025 Soquel Ave, Santa Cruz, CA 95062, USA",(831) 423-4111,http://www.pamf.org/,,,establishment; health; physiotherapist; point_of_interest,,ChIJ03I5ZgFAjoAR2XUbAvD0Hzo,36.9822811,-121.9977404
Precision Physical Therapy & Fitness Santa Cruz,"8030 Soquel Ave #200, Santa Cruz, CA 95062, USA",(831) 464-8200,http://www.prefitpt.com/,4.7,,establishment; health; physiotherapist; point_of_interest,Monday: 7:30 AM – 6:30 PM; Tuesday: 7:30 AM – 6:30 PM; Wednesday: 7:30 AM – 6:30 PM; Thursday: 7:30 AM – 6:30 PM; Friday: 7:30 AM – 6:30 PM; Saturday: Closed; Sunday: Closed,ChIJMzaT72YVjoAR7LGw7yw93SM,36.9820866,-121.9669302
Lifesport Medicine & Wellness,"1260 41st Ave STE N, Capitola, CA 95010, USA",(831) 462-5000,,5,,doctor; establishment; health; physiotherapist; point_of_interest,,ChIJXc2gVmsVjoARFuXqk0-eHZ8,36.97007869999999,-121.9645929
"Charles Verutti, PT","1529 Seabright Ave, Santa Cruz, CA 95062, USA",(831) 458-6230,http://www.pamf.org/charles-verutti.html?utm_medium=local&utm_source=google_plus-local&utm_campaign=local-santa-cruz-pamfd1254,5,,establishment; health; physiotherapist; point_of_interest,Monday: 7:00 AM – 6:30 PM; Tuesday: 7:00 AM – 6:30 PM; Wednesday: 7:00 AM – 6:30 PM; Thursday: 7:00 AM – 6:30 PM; Friday: 7:00 AM – 6:30 PM; Saturday: 8:00 AM – 12:00 PM; Sunday: Closed,ChIJK2yHmR5AjoARNKONbQnUeys,36.9784533,-122.0105752
Reber Physical Therapy,"7887 Soquel Dr STE D, Aptos, CA 95003, USA",(831) 688-6355,,,,establishment; health; physiotherapist; point_of_interest,,ChIJ94XY59kVjoAR_8i4fz8uKxs,36.9782505,-121.9063241
Seascape Physical Therapy,"Fitness, 15 Seascape Village, Aptos, CA 95003, USA",(831) 687-0985,,,,establishment; health; physiotherapist; point_of_interest,,ChIJk2NOrMAWjoARdz7rpjwHPmk,36.9523131,-121.8772546
Santa Cruz Physical Therapy,"1529 Seabright Ave, Santa Cruz, CA 95062, USA",(831) 458-6230,https://www.sutterhealth.org/find-location/facility/santa-cruz-physical-therapy-1043246788,2.9,,establishment; health; physiotherapist; point_of_interest,Monday: 7:00 AM – 6:00 PM; Tuesday: 7:00 AM – 6:30 PM; Wednesday: 7:00 AM – 6:00 PM; Thursday: 7:00 AM – 6:30 PM; Friday: 7:00 AM – 5:30 PM; Saturday: 8:00 AM – 12:00 PM; Sunday: Closed,ChIJK2yHmR5AjoARTnEtIpvydSc,36.9785156,-122.0105972
Turner Cherie,"1529 Seabright Ave, Santa Cruz, CA 95062, USA",(831) 458-6230,http://www.pamf.org/,,,establishment; health; physiotherapist; point_of_interest,,ChIJK2yHmR5AjoARostRrSPvK_c,36.97844259999999,-122.0105689
Arnold Jane,"1529 Seabright Ave, Santa Cruz, CA 95062, USA",(831) 458-6230,http://www.pamf.org/,,,establishment; health; physiotherapist; point_of_interest,,ChIJK2yHmR5AjoARPhWsvGCIwgc,36.97844259999999,-122.0105689
"Christopher Vafiades, PT, MS, ATC","1200 41st Ave Suite H, Capitola, CA 95010, USA",(831) 346-6886,http://fyzical.com/santa-cruz,,,establishment; health; physiotherapist; point_of_interest,Monday: 8:00 AM – 7:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 7:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,ChIJ7QhlMwNAjoARIrYRj8gTIy8,36.9689799,-121.9641524
Alliance Physical Therapy,"7887 Soquel Dr ste d&e, Aptos, CA 95003, USA",(831) 662-4547,https://www.allianceptsantacruz.com/,4.4,,establishment; health; physiotherapist; point_of_interest,Monday: 7:00 AM – 6:00 PM; Tuesday: 7:00 AM – 6:00 PM; Wednesday: 7:00 AM – 6:00 PM; Thursday: 7:00 AM – 6:00 PM; Friday: 7:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,ChIJdzrK6NkVjoAR2wcTnviJ3fg,36.97811849999999,-121.9062729
Pacific Pilates and Physical Therapy,"9099 Soquel Dr, Aptos, CA 95003, USA",(831) 331-1731,https://www.pacificpilatesnow.com/,,,establishment; health; physiotherapist; point_of_interest,,ChIJfaQGT2IWjoAR2d4VBXhCh9I,36.9756904,-121.8866878
"Eric Ingram, RPT","1003 River St # C, Santa Cruz, CA 95060, USA",(831) 457-1800,,,,establishment; health; physiotherapist; point_of_interest,,ChIJYbSdUTZAjoARP0srpwSck8M,36.9868665,-122.0305815
Santa Cruz,"Santa Cruz, CA, USA",,http://www.ci.santa-cruz.ca.us/,,,locality; political,,ChIJSdU2fBtEjoARhfnXKksQylI,36.9741275,-122.028807
Best Western Plus All Suites Inn,"500 Ocean St, Santa Cruz, CA 95060, USA",(831) 458-9898,https://www.bestwestern.com/en_US/book/hotel-rooms.05480.html?iata=00171880&ssob=BLBWI0004G&cid=BLBWI0004G:google:gmb:05480,3.9,,establishment; lodging; point_of_interest,,ChIJe1T8_iBAjoARiwVqotDfaxs,36.9750561,-122.0186158
"Holiday Inn Express & Suites Santa Cruz, an IHG Hotel","1410 Ocean St, Santa Cruz, CA 95060, USA",(831) 466-9100,https://www.ihg.com/holidayinnexpress/hotels/us/en/santa-cruz/srues/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-US-_-SRUES,3.9,,establishment; lodging; point_of_interest,,ChIJV0XGoztAjoARgdCWDHKf6Fk,36.984289,-122.022732
Dream Inn,"175 W Cliff Dr, Santa Cruz, CA 95060, USA",(831) 740-8069,https://www.dreaminnsantacruz.com/?utm_source=google&utm_medium=bizlisting&utm_campaign=google_places,4.5,,establishment; lodging; point_of_interest,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJxUvnoZpqjoARC4a1tZxLlDg,36.9618583,-122.0250944
Hilton Santa Cruz/Scotts Valley,"6001 La Madrona Dr, Santa Cruz, CA 95060, USA",(831) 440-1000,https://www.hilton.com/en/hotels/sjcsvhf-hilton-santa-cruz-scotts-valley/?SEO_id=GMB-AMER-HH-SJCSVHF&y_source=1_MTIyMDkzOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4,,establishment; lodging; point_of_interest,,ChIJ7R_R7cRAjoARjqdSicWiBpM,37.03587539999999,-122.0243043
Ocean Pacific Lodge,"301 Pacific Ave, Santa Cruz, CA 95060, USA",(831) 457-1234,https://www.theoceanpacificlodge.com/,4.2,,establishment; lodging; point_of_interest,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJdTxnRZtqjoARcFcDCOB43NM,36.96570579999999,-122.02639
Howard Johnson by Wyndham Santa Cruz,"130 W Cliff Dr, Santa Cruz, CA 95060, USA",(831) 291-3054,https://www.wyndhamhotels.com/hojo/santa-cruz-california/howard-johnson-inn-santa-cruz/overview?CID=LC:q68ryvg9cq3avi8:2528&iata=00093796,3.4,,establishment; lodging; point_of_interest,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJCfvj4ZpqjoARGvNVNc8ivys,36.9635524,-122.0252265
Seascape Resort,"1 Seascape Resort Dr, Aptos, CA 95003, USA",(831) 688-6800,https://www.seascaperesort.com/?utm_medium=organic&utm_source=google&utm_campaign=business-listing,4.5,,establishment; lodging; point_of_interest,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJNxjNL8cWjoAR_FK3JukZwZU,36.9503797,-121.8769006
