Name,Category,Subcategory,Description,LongDescription,WriteUp,Address,City,State,ZipCode,Phone,Website,Email,Instagram,Facebook,Latitude,Longitude,Neighborhood,CrossStreets,Services,Specialties,Amenities,Equipment,Classes,Programs,PriceLevel,Pricing,Hours,HolidayHours,BestTime,PeakHours,IndoorOutdoor,Parking,PublicTransportation,WheelchairAccessible,FamilyFriendly,PetFriendly,Wifi,Showers,LockerRoom,EquipmentRental,WellnessType,TreatmentTypes,Certification,Licensed,InsuranceAccepted,AppointmentRequired,WalkInsWelcome,GroupSessions,PrivateSessions,TargetAudience,SkillLevel,AgeGroups,BeginnerFriendly,AdvancedPrograms,Rating,ReviewCount,StaffPicks,Awards,Certifications,PhotoURL,ImageGallery,VideoURL,VirtualTour,SocialMedia,BusinessType,Ownership,Established,StaffSize,Languages,Tags,Keywords,Seasonal,WeatherDependent,BookingPlatform,CancellationPolicy,MembershipRequired,TrialClass,PackageDeals,MetaDescription,MetaKeywords,Featured,Popular,Trending
"Soquel Wellness Center","Wellness Center","","Holistic wellness center offering acupuncture, massage, and alternative healing therapies.","Holistic wellness center offering acupuncture, massage, and alternative healing therapies. Located in beautiful Soquel, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","741 Soquel Avenue, Soquel, CA 95073","Soquel","CA","95073","(831) 475-9012","https://www.soquelwellness.com","","","","36.9881","-121.9564","Soquel","","Acupuncture, Massage, Alternative Healing, Holistic Health, Wellness Consultations","Acupuncture","Parking, Professional Staff, Clean Facilities","","Acupuncture, Massage, Alternative Healing, Holistic Health, Wellness Consultations","","3","Premium","Mon-Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 2:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Wellness Center","Acupuncture, Massage, Alternative Healing, Holistic Health, Wellness Consultations","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_soquel_wellness_center&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Holistic, Acupuncture, Alternative Healing, Wellness, Massage","Holistic, Acupuncture, Alternative Healing, Wellness, Massage","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Soquel Wellness Center - Wellness Center in Soquel, Santa Cruz County","Holistic, Acupuncture, Alternative Healing, Wellness, Massage","","",""
"Beachside Massage Therapy","Massage Therapy","","Oceanfront massage therapy with sound of waves and ocean breeze.","Oceanfront massage therapy with sound of waves and ocean breeze. Located in beautiful Santa Cruz, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","123 Beach Street, Santa Cruz, CA 95060","Santa Cruz","CA","95060","(831) 425-3456","https://www.beachsidemassage.com","","","","36.9741","-122.0308","Santa Cruz","","Oceanfront Massage, Deep Tissue, Relaxation, Couples Massage, Ocean Sounds","Oceanfront Massage","Parking, Professional Staff, Clean Facilities","","Oceanfront Massage, Deep Tissue, Relaxation, Couples Massage, Ocean Sounds","","3","Premium","Mon-Fri: 9:00 AM - 7:00 PM; Sat: 9:00 AM - 5:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Massage Therapy","Oceanfront Massage, Deep Tissue, Relaxation, Couples Massage, Ocean Sounds","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_beachside_massage_therapy&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Oceanfront, Deep Tissue, Relaxation, Couples, Ocean Sounds","Oceanfront, Deep Tissue, Relaxation, Couples, Ocean Sounds","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Beachside Massage Therapy - Massage Therapy in Santa Cruz, Santa Cruz County","Oceanfront, Deep Tissue, Relaxation, Couples, Ocean Sounds","","",""
"Mountain Healing Massage","Massage Therapy","","Mountain retreat massage therapy with nature sounds and forest atmosphere.","Mountain retreat massage therapy with nature sounds and forest atmosphere. Located in beautiful Boulder Creek, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","456 Highway 9, Boulder Creek, CA 95006","Boulder Creek","CA","95006","(831) 338-7890","https://www.mountainhealingmassage.com","","","","37.1261","-122.1217","Boulder Creek","","Mountain Massage, Nature Sounds, Forest Atmosphere, Therapeutic Massage, Healing","Mountain Massage","Parking, Professional Staff, Clean Facilities","","Mountain Massage, Nature Sounds, Forest Atmosphere, Therapeutic Massage, Healing","","3","Premium","Mon-Fri: 9:00 AM - 7:00 PM; Sat: 9:00 AM - 5:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Massage Therapy","Mountain Massage, Nature Sounds, Forest Atmosphere, Therapeutic Massage, Healing","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_mountain_healing_massage&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Mountain, Nature Sounds, Forest, Therapeutic, Healing","Mountain, Nature Sounds, Forest, Therapeutic, Healing","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Mountain Healing Massage - Massage Therapy in Boulder Creek, Santa Cruz County","Mountain, Nature Sounds, Forest, Therapeutic, Healing","","",""
"Aptos Therapeutic Massage","Massage Therapy","","Specialized therapeutic massage for injury recovery and chronic pain management.","Specialized therapeutic massage for injury recovery and chronic pain management. Located in beautiful Aptos, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","852 Trout Gulch Road, Aptos, CA 95003","Aptos","CA","95003","(831) 688-2345","https://www.aptostherapeuticmassage.com","","","","36.9772","-121.9014","Aptos","","Therapeutic Massage, Injury Recovery, Chronic Pain, Sports Massage, Rehabilitation","Therapeutic Massage","Parking, Professional Staff, Clean Facilities","","Therapeutic Massage, Injury Recovery, Chronic Pain, Sports Massage, Rehabilitation","","2","Moderate","Mon-Fri: 9:00 AM - 7:00 PM; Sat: 9:00 AM - 5:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Massage Therapy","Therapeutic Massage, Injury Recovery, Chronic Pain, Sports Massage, Rehabilitation","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_aptos_therapeutic_massage&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Therapeutic, Injury Recovery, Chronic Pain, Sports, Rehabilitation","Therapeutic, Injury Recovery, Chronic Pain, Sports, Rehabilitation","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Aptos Therapeutic Massage - Massage Therapy in Aptos, Santa Cruz County","Therapeutic, Injury Recovery, Chronic Pain, Sports, Rehabilitation","","",""
"Santa Cruz Boxing Club","Fitness Studio","","Professional boxing gym with training for all levels, from beginners to competitive fighters.","Professional boxing gym with training for all levels, from beginners to competitive fighters. Located in beautiful Santa Cruz, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","147 Pacific Avenue, Santa Cruz, CA 95060","Santa Cruz","CA","95060","(831) 425-6789","https://www.santacruzboxing.com","","","","36.9741","-122.0308","Santa Cruz","","Boxing Training, Fitness Boxing, Competitive Training, Personal Training, Group Classes","Boxing Training","Parking, Professional Staff, Clean Facilities","","Boxing Training, Fitness Boxing, Competitive Training, Personal Training, Group Classes","","2","Moderate","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","Showers available","Locker rooms available","","Fitness Studio","Boxing Training, Fitness Boxing, Competitive Training, Personal Training, Group Classes","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_santa_cruz_boxing_club&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Boxing, Martial Arts, Competitive, Personal Training, Group Classes","Boxing, Martial Arts, Competitive, Personal Training, Group Classes","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Santa Cruz Boxing Club - Fitness Studio in Santa Cruz, Santa Cruz County","Boxing, Martial Arts, Competitive, Personal Training, Group Classes","","",""
"Capitola Dance Studio","Dance Studio","","Comprehensive dance studio offering classes in multiple styles for all ages.","Comprehensive dance studio offering classes in multiple styles for all ages. Located in beautiful Capitola, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","369 Capitola Road, Capitola, CA 95010","Capitola","CA","95010","(831) 475-4567","https://www.capitoladance.com","","","","36.9753","-121.9534","Capitola","","Ballet, Jazz, Hip Hop, Contemporary, Ballroom, Kids Classes, Adult Classes","Ballet","Parking, Professional Staff, Clean Facilities","","Ballet, Jazz, Hip Hop, Contemporary, Ballroom, Kids Classes, Adult Classes","","2","Moderate","Mon-Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 2:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Dance Studio","Ballet, Jazz, Hip Hop, Contemporary, Ballroom, Kids Classes, Adult Classes","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_capitola_dance_studio&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Dance, Ballet, Jazz, Hip Hop, Ballroom, Kids, Adult","Dance, Ballet, Jazz, Hip Hop, Ballroom, Kids, Adult","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Capitola Dance Studio - Dance Studio in Capitola, Santa Cruz County","Dance, Ballet, Jazz, Hip Hop, Ballroom, Kids, Adult","","",""
"Santa Cruz Rock Climbing Gym","Fitness Studio","","Indoor rock climbing gym with routes for all skill levels and outdoor climbing instruction.","Indoor rock climbing gym with routes for all skill levels and outdoor climbing instruction. Located in beautiful Santa Cruz, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","741 Soquel Avenue, Santa Cruz, CA 95062","Santa Cruz","CA","95062","(831) 475-8901","https://www.santacruzclimbing.com","","","","36.9741","-122.0308","Santa Cruz","","Indoor Climbing, Outdoor Instruction, Bouldering, Route Setting, Climbing Classes","Indoor Climbing","Parking, Professional Staff, Clean Facilities","","Indoor Climbing, Outdoor Instruction, Bouldering, Route Setting, Climbing Classes","","3","Premium","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","Showers available","Locker rooms available","","Fitness Studio","Indoor Climbing, Outdoor Instruction, Bouldering, Route Setting, Climbing Classes","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_santa_cruz_rock_climbing_gym&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Rock Climbing, Indoor, Outdoor, Bouldering, Route Setting","Rock Climbing, Indoor, Outdoor, Bouldering, Route Setting","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Santa Cruz Rock Climbing Gym - Fitness Studio in Santa Cruz, Santa Cruz County","Rock Climbing, Indoor, Outdoor, Bouldering, Route Setting","","",""
"Watsonville Swimming Academy","Fitness Studio","","Swimming instruction and fitness classes for all ages and skill levels.","Swimming instruction and fitness classes for all ages and skill levels. Located in beautiful Watsonville, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","852 Main Street, Watsonville, CA 95076","Watsonville","CA","95076","(831) 724-3456","https://www.watsonvilleswimming.com","","","","36.9102","-121.7569","Watsonville","","Swimming Lessons, Water Fitness, Aqua Aerobics, Competitive Swimming, Private Lessons","Swimming Lessons","Parking, Professional Staff, Clean Facilities","","Swimming Lessons, Water Fitness, Aqua Aerobics, Competitive Swimming, Private Lessons","","2","Moderate","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","Showers available","Locker rooms available","","Fitness Studio","Swimming Lessons, Water Fitness, Aqua Aerobics, Competitive Swimming, Private Lessons","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_watsonville_swimming_academy&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Swimming, Water Fitness, Aqua Aerobics, Competitive, Private Lessons","Swimming, Water Fitness, Aqua Aerobics, Competitive, Private Lessons","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Watsonville Swimming Academy - Fitness Studio in Watsonville, Santa Cruz County","Swimming, Water Fitness, Aqua Aerobics, Competitive, Private Lessons","","",""
"Santa Cruz Chiropractic Wellness","Chiropractic","","Comprehensive chiropractic care with focus on wellness and preventive treatment.","Comprehensive chiropractic care with focus on wellness and preventive treatment. Located in beautiful Santa Cruz, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","123 Water Street, Santa Cruz, CA 95060","Santa Cruz","CA","95060","(831) 425-7890","https://www.santacruzchiropractic.com","","","","36.9741","-122.0308","Santa Cruz","","Chiropractic Care, Spinal Adjustment, Wellness Care, Preventive Treatment, Sports Chiropractic","Chiropractic Care","Parking, Professional Staff, Clean Facilities","","Chiropractic Care, Spinal Adjustment, Wellness Care, Preventive Treatment, Sports Chiropractic","","3","Premium","Mon-Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 2:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Chiropractic","Chiropractic Care, Spinal Adjustment, Wellness Care, Preventive Treatment, Sports Chiropractic","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_santa_cruz_chiropractic_wellness&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Chiropractic, Spinal Care, Wellness, Preventive, Sports","Chiropractic, Spinal Care, Wellness, Preventive, Sports","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Santa Cruz Chiropractic Wellness - Chiropractic in Santa Cruz, Santa Cruz County","Chiropractic, Spinal Care, Wellness, Preventive, Sports","","",""
"Capitola Physical Therapy","Physical Therapy","","Physical therapy clinic specializing in injury rehabilitation and movement optimization.","Physical therapy clinic specializing in injury rehabilitation and movement optimization. Located in beautiful Capitola, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","456 Capitola Road, Capitola, CA 95010","Capitola","CA","95010","(831) 475-1234","https://www.capitolaphysicaltherapy.com","","","","36.9753","-121.9534","Capitola","","Physical Therapy, Injury Rehabilitation, Movement Optimization, Sports Therapy, Pain Management","Physical Therapy","Parking, Professional Staff, Clean Facilities","","Physical Therapy, Injury Rehabilitation, Movement Optimization, Sports Therapy, Pain Management","","3","Premium","Mon-Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 2:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Physical Therapy","Physical Therapy, Injury Rehabilitation, Movement Optimization, Sports Therapy, Pain Management","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_capitola_physical_therapy&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Physical Therapy, Rehabilitation, Movement, Sports Therapy, Pain Management","Physical Therapy, Rehabilitation, Movement, Sports Therapy, Pain Management","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Capitola Physical Therapy - Physical Therapy in Capitola, Santa Cruz County","Physical Therapy, Rehabilitation, Movement, Sports Therapy, Pain Management","","",""
"Scotts Valley Naturopathic Medicine","Naturopathic Medicine","","Naturopathic medicine practice focusing on natural healing and holistic health.","Naturopathic medicine practice focusing on natural healing and holistic health. Located in beautiful Scotts Valley, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","741 Mount Hermon Road, Scotts Valley, CA 95066","Scotts Valley","CA","95066","(831) 438-5678","https://www.scottsvalleynaturopathic.com","","","","37.0511","-122.0147","Scotts Valley","","Naturopathic Medicine, Natural Healing, Holistic Health, Nutritional Counseling, Herbal Medicine","Naturopathic Medicine","Parking, Professional Staff, Clean Facilities","","Naturopathic Medicine, Natural Healing, Holistic Health, Nutritional Counseling, Herbal Medicine","","3","Premium","Mon-Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 2:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Naturopathic Medicine","Naturopathic Medicine, Natural Healing, Holistic Health, Nutritional Counseling, Herbal Medicine","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_scotts_valley_naturopathic_medicine&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Naturopathic, Natural Healing, Holistic, Nutritional Counseling, Herbal Medicine","Naturopathic, Natural Healing, Holistic, Nutritional Counseling, Herbal Medicine","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Scotts Valley Naturopathic Medicine - Naturopathic Medicine in Scotts Valley, Santa Cruz County","Naturopathic, Natural Healing, Holistic, Nutritional Counseling, Herbal Medicine","","",""
"Santa Cruz Float Therapy Center","Wellness Center","","Sensory deprivation float therapy for deep relaxation and stress relief.","Sensory deprivation float therapy for deep relaxation and stress relief. Located in beautiful Santa Cruz, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","123 Pacific Avenue, Santa Cruz, CA 95060","Santa Cruz","CA","95060","(831) 425-9012","https://www.santacruzfloat.com","","","","36.9741","-122.0308","Santa Cruz","","Float Therapy, Sensory Deprivation, Stress Relief, Deep Relaxation, Mental Wellness","Float Therapy","Parking, Professional Staff, Clean Facilities","","Float Therapy, Sensory Deprivation, Stress Relief, Deep Relaxation, Mental Wellness","","4","Luxury","Mon-Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 2:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Wellness Center","Float Therapy, Sensory Deprivation, Stress Relief, Deep Relaxation, Mental Wellness","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_santa_cruz_float_therapy_center&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Float Therapy, Sensory Deprivation, Stress Relief, Relaxation, Mental Wellness","Float Therapy, Sensory Deprivation, Stress Relief, Relaxation, Mental Wellness","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Santa Cruz Float Therapy Center - Wellness Center in Santa Cruz, Santa Cruz County","Float Therapy, Sensory Deprivation, Stress Relief, Relaxation, Mental Wellness","","",""
"Capitola Salt Therapy Studio","Wellness Center","","Halotherapy (salt therapy) for respiratory health and skin wellness.","Halotherapy (salt therapy) for respiratory health and skin wellness. Located in beautiful Capitola, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","369 Capitola Road, Capitola, CA 95010","Capitola","CA","95010","(831) 475-3456","https://www.capitolasalttherapy.com","","","","36.9753","-121.9534","Capitola","","Salt Therapy, Halotherapy, Respiratory Health, Skin Wellness, Allergy Relief","Salt Therapy","Parking, Professional Staff, Clean Facilities","","Salt Therapy, Halotherapy, Respiratory Health, Skin Wellness, Allergy Relief","","3","Premium","Mon-Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 2:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Wellness Center","Salt Therapy, Halotherapy, Respiratory Health, Skin Wellness, Allergy Relief","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_capitola_salt_therapy_studio&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Salt Therapy, Halotherapy, Respiratory Health, Skin Wellness, Allergy Relief","Salt Therapy, Halotherapy, Respiratory Health, Skin Wellness, Allergy Relief","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Capitola Salt Therapy Studio - Wellness Center in Capitola, Santa Cruz County","Salt Therapy, Halotherapy, Respiratory Health, Skin Wellness, Allergy Relief","","",""
"Aptos Cryotherapy Center","Wellness Center","","Whole body cryotherapy for recovery, inflammation reduction, and wellness.","Whole body cryotherapy for recovery, inflammation reduction, and wellness. Located in beautiful Aptos, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","852 Trout Gulch Road, Aptos, CA 95003","Aptos","CA","95003","(831) 688-7890","https://www.aptoscryotherapy.com","","","","36.9772","-121.9014","Aptos","","Cryotherapy, Recovery, Inflammation Reduction, Wellness, Sports Recovery","Cryotherapy","Parking, Professional Staff, Clean Facilities","","Cryotherapy, Recovery, Inflammation Reduction, Wellness, Sports Recovery","","4","Luxury","Mon-Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 2:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Wellness Center","Cryotherapy, Recovery, Inflammation Reduction, Wellness, Sports Recovery","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_aptos_cryotherapy_center&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Cryotherapy, Recovery, Inflammation, Wellness, Sports Recovery","Cryotherapy, Recovery, Inflammation, Wellness, Sports Recovery","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Aptos Cryotherapy Center - Wellness Center in Aptos, Santa Cruz County","Cryotherapy, Recovery, Inflammation, Wellness, Sports Recovery","","",""
"Aerial Yoga Santa Cruz","Yoga Studio","","Aerial yoga classes using silk hammocks for unique poses and deep stretching.","Aerial yoga classes using silk hammocks for unique poses and deep stretching. Located in beautiful Santa Cruz, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","147 Water Street, Santa Cruz, CA 95060","Santa Cruz","CA","95060","(831) 425-2345","https://www.aerialyogasantacruz.com","","","","36.9741","-122.0308","Santa Cruz","","Aerial Yoga, Silk Hammocks, Deep Stretching, Unique Poses, Strength Building","Aerial Yoga","Parking, Professional Staff, Clean Facilities","","Aerial Yoga, Silk Hammocks, Deep Stretching, Unique Poses, Strength Building","","3","Premium","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Yoga Studio","Aerial Yoga, Silk Hammocks, Deep Stretching, Unique Poses, Strength Building","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_aerial_yoga_santa_cruz&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Aerial Yoga, Silk Hammocks, Deep Stretching, Unique Poses, Strength","Aerial Yoga, Silk Hammocks, Deep Stretching, Unique Poses, Strength","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Aerial Yoga Santa Cruz - Yoga Studio in Santa Cruz, Santa Cruz County","Aerial Yoga, Silk Hammocks, Deep Stretching, Unique Poses, Strength","","",""
