Title,Venue,Tags,Cost,Duration,Notes,Venues,Spots,Beaches,Food & Drink,Unique Experiences,Nature & Hiking,Day Trips,WeatherSuitability,IdealTemp_Min,IdealTemp_Max,IndoorOutdoor,RainOk,WindSensitive,RequiresGoodVisibility,WeatherBoost,Reviews
Join a museum workshop or craft night,Santa Cruz Museum of Art & History (MAH),"art,community,event",15,2h+,Evening craft nights or creative workshops available regularly.,,,,,,,,,,,,,,,,
Coffee date or reading time,Local Cafe (e.g. Verve Coffee),"cafe,date,relax",6,1h,Relax with a drink and people watch during the rain.,,,,,,,,,,,,,,,,
Take a cooking or baking class,Cooking Class (local studio),"cooking,learning,fun",50,2h+,Check for small group or couples cooking workshops.,,,,,,,,,,,,,,,,
Solve puzzles and escape challenges,Indoor Escape Room,"games,puzzles,teamwork",30,1h,Great for groups or friends to test teamwork skills.,,,,,,,,,,,,,,,,
Enjoy local wines indoors,Wine Tasting Room,"wine,date,relaxation",25,1h,Cozy up with local wine tastings in covered venues.,,,,,,,,,,,,,,,,
Try a salsa or swing class,Indoor Dance Class,"dance,fitness,fun",20,1h,Learn partner or solo dance styles indoors.,,,,,,,,,,,,,,,,
Natural Bridges Tide Pools,Natural Bridges State Beach,"tide-pools,nature,outdoors,beach,photography",0,1-2 hours,"Explore incredible tide pools with sea stars, anemones, crabs, and colorful marine life. Best visited at low tide for maximum viewing.",,,,,Check tide schedule before visiting. Visit 1-2 hours before or after low tide for best viewing. Wear non-slip shoes - rocks are slippery! Stay off black rocks covered in algae. Bring sunscreen and water.,Outdoor,"perfect_sunny,cool_sunny,partly_cloudy","perfect_sunny,cool_sunny,partly_cloudy",80,,Outdoor,,checked,checked,1.50,
Natural Bridges Beach Walk,Natural Bridges State Beach,"beach,walking,nature,outdoors,free",0,30min-1 hour,Beautiful beach with iconic natural bridge rock formation. Great for sunset walks and monarch butterfly migrations in winter.,,,,,Visit during monarch season (Oct-Feb) to see thousands of butterflies. Sunset views are spectacular. Free parking after 5pm!,Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,overcast","perfect_sunny,cool_sunny,partly_cloudy,overcast",85,,Outdoor,checked,,,1.20,
West Cliff Drive Walk,West Cliff Drive,"walking,scenic,outdoors,free,ocean-views",0,1-2 hours,"Stunning 3-mile oceanfront path from Natural Bridges to the Santa Cruz Wharf. Perfect for walking, running, or biking.",,,,,"Best at sunset! Stop at Lighthouse Field, It's Beach, and Steamer Lane. Bring a camera for surfers and sea lions.",Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,windy","perfect_sunny,cool_sunny,partly_cloudy,windy",90,,Outdoor,checked,,checked,1.30,
Steamer Lane Surf Watching,Steamer Lane,"surfing,view,outdoor,free,photography",0,30min-1 hour,World-famous surf break. Watch pro surfers from the cliff near the lighthouse. Best on big swell days.,,,,,Best in winter for big waves. Bring binoculars. Mornings are less crowded. Check surf forecast for best action.,Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,windy,overcast","perfect_sunny,cool_sunny,partly_cloudy,windy,overcast",85,,Outdoor,checked,,checked,1.20,
Its Beach (Dog Beach),Its Beach,"dog-friendly,beach,outdoors,free",0,1-2 hours,Off-leash dog beach where pups can run free. Beautiful views and friendly community.,,,,,Bring poop bags! Dogs love it here. Can get crowded on weekends. Great dog-watching even if you don't have a pup.,Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,windy","perfect_sunny,cool_sunny,partly_cloudy,windy",85,,Outdoor,checked,,,1.10,
Cowell Beach,Cowell Beach,"beach,surfing,swimming,outdoors",0,2-4 hours,Santa Cruz's main beach next to the Boardwalk. Gentle waves perfect for beginner surfing and swimming.,,,,,Lifeguards in summer. Surf lessons available nearby. Can get crowded in summer. Bathrooms and showers available.,Outdoor,"perfect_sunny,hot_sunny,partly_cloudy","perfect_sunny,hot_sunny,partly_cloudy",95,,Outdoor,,,,1.30,
Santa Cruz Beach Boardwalk,Santa Cruz Beach Boardwalk,"amusement-park,arcade,family,boardwalk",3,3-4 hours,"Classic California boardwalk with rides, arcade games, and oceanfront fun. Home to the historic Giant Dipper roller coaster.",,,,,"Check website for opening days (not open daily in winter). Free admission, pay per ride or get wristband. Try the corn dogs and garlic fries!",Mixed,"perfect_sunny,hot_sunny,cool_sunny,partly_cloudy","perfect_sunny,hot_sunny,cool_sunny,partly_cloudy",95,,Mixed,,checked,,1.40,
Santa Cruz Wharf,Santa Cruz Wharf,"wharf,seafood,walking,views",2,1-2 hours,"Half-mile pier with restaurants, shops, and sea lion viewing. Fresh seafood and beautiful bay views.",,,,,Look for sea lions under the wharf! Stagnaro's for fresh fish. Riva's for breakfast. Can be foggy in summer mornings.,Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,overcast,foggy","perfect_sunny,cool_sunny,partly_cloudy,overcast,foggy",85,,Outdoor,checked,checked,,1.20,
Pleasure Point,Pleasure Point,"surfing,beach,walking,cliff-walk",0,1-2 hours,Prime surf spot with cliff-top walking path. Great views of surfers and coastal scenery.,,,,,Walk the cliff path from 30th to 41st. Best surf-watching at The Hook. Sunset surf sessions are magical.,Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,windy","perfect_sunny,cool_sunny,partly_cloudy,windy",85,,Outdoor,checked,,checked,1.20,
Henry Cowell Redwoods,Henry Cowell Redwoods State Park,"hiking,redwoods,nature,outdoors",2,2-3 hours,Ancient redwood grove with easy trails. The Redwood Grove Loop Trail is 0.8 miles of pure magic.,,,,,Take the Redwood Grove Trail for easiest walk. Cool even on hot days! Bring layers. Often 10-15°F cooler than town.,Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,hot_sunny","perfect_sunny,cool_sunny,partly_cloudy,hot_sunny",95,,Outdoor,checked,,,1.40,
Wilder Ranch,Wilder Ranch State Park,"hiking,coastal,outdoors,history",2,2-4 hours,"Coastal hiking with ocean views, historic dairy farm, and miles of trails. Mix of easy and moderate hikes.",,,,,Old Cove Landing Trail is easiest (3 miles). Incredible coastal views. Can be windy! Check for whale watching in winter.,Outdoor,"perfect_sunny,cool_sunny,partly_cloudy","perfect_sunny,cool_sunny,partly_cloudy",85,,Outdoor,,checked,checked,1.30,
Pogonip Park,Pogonip,"hiking,trails,meadows,nature",0,1-3 hours,"800+ acres of meadows, forests, and trails. Great for casual hikes and picnics.",,,,,Easy to moderate trails. Rincon Trail is popular. Can be muddy after rain. Bring water - no facilities on trails.,Outdoor,"perfect_sunny,cool_sunny,partly_cloudy","perfect_sunny,cool_sunny,partly_cloudy",85,,Outdoor,,,,1.10,
DeLaveaga Park,DeLaveaga Park,"disc-golf,hiking,park",0,2-3 hours,"Disc golf course, hiking trails, and forested park. Local favorite for outdoor recreation.",,,,,World-class disc golf course (challenging!). Hiking trails through eucalyptus grove. Can be foggy/cool.,Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,overcast","perfect_sunny,cool_sunny,partly_cloudy,overcast",85,,Outdoor,checked,,,1.00,
Cat & Cloud Coffee,Cat & Cloud Coffee,"coffee,cafe,work,indoor,cozy",2,30min-1 hour,"Indie coffee shop with exceptional coffee, friendly vibes, and great atmosphere. Perfect for work or catching up.",,,,,Often busy - go early or late. Try the cortado or lavender latte. Great for working but can get loud.,Indoor,"light_rain,rainy,foggy,cold,overcast,cool_sunny","light_rain,rainy,foggy,cold,overcast,cool_sunny",,,Indoor,checked,,,1.20,
Verve Coffee,Verve Coffee Roasters,"coffee,cafe,work,local-roaster",2,30min-1 hour,"Local coffee roaster with multiple locations. Excellent coffee and modern, bright spaces.",,,,,"Multiple locations (Downtown, Westside, Eastside). Downtown is busiest. 41st Ave is largest with patio.",Indoor,"light_rain,rainy,foggy,cold,overcast,cool_sunny,partly_cloudy","light_rain,rainy,foggy,cold,overcast,cool_sunny,partly_cloudy",,,Indoor,checked,,,1.10,
The Penny Ice Creamery,The Penny Ice Creamery,"ice-cream,dessert,local",2,30min,"Artisan ice cream made with local, organic ingredients. Creative flavors and consistently delicious.",,,,,Try seasonal flavors! Salted caramel and bourbon vanilla are classics. Often a line - worth the wait.,Indoor,"perfect_sunny,hot_sunny,cool_sunny,partly_cloudy","perfect_sunny,hot_sunny,cool_sunny,partly_cloudy",100,,Indoor,checked,,,1.30,
Marianne's Ice Cream,Marianne's Ice Cream,"ice-cream,dessert,classic",1,30min,Classic ice cream shop with huge portions. Santa Cruz institution since 1947.,,,,,Cash only! Huge servings. Classic flavors. Get the butterscotch topping!,Indoor,"perfect_sunny,hot_sunny,cool_sunny,partly_cloudy","perfect_sunny,hot_sunny,cool_sunny,partly_cloudy",100,,Indoor,checked,,,1.10,
Lúpulo Craft Beer House,Lúpulo,"craft-beer,bar,beer-garden",2,1-2 hours,"Craft beer bar with 30+ taps, outdoor beer garden, and chill vibes. Dog-friendly patio.",,,,,Rotating taps from local breweries. Dog-friendly patio. Food trucks often on site. Trivia nights!,Mixed,"perfect_sunny,cool_sunny,partly_cloudy,overcast","perfect_sunny,cool_sunny,partly_cloudy,overcast",85,,Mixed,checked,,,1.10,
Santa Cruz Mountain Brewing,Santa Cruz Mountain Brewing,"brewery,beer,local",2,1-2 hours,"Local brewery with great beer selection and food. Relaxed atmosphere, family and dog friendly.",,,,,Order at the bar. Good food menu. Outdoor seating. Try the People's Porter or Dread Brown.,Mixed,"perfect_sunny,cool_sunny,partly_cloudy,overcast,light_rain","perfect_sunny,cool_sunny,partly_cloudy,overcast,light_rain",85,,Mixed,checked,,,1.00,
Seabright Brewery,Seabright Brewery,"brewery,beer,local,pelican-ipa",2,1-2 hours,Neighborhood brewery near the harbor. Home of the famous Pelican IPA.,,,,,Pelican IPA is a must-try! Outdoor beer garden. Good burgers. Can get crowded on weekends.,Mixed,"perfect_sunny,cool_sunny,partly_cloudy,overcast","perfect_sunny,cool_sunny,partly_cloudy,overcast",85,,Mixed,checked,,,1.00,
Crow's Nest,Crow's Nest,"restaurant,waterfront,seafood,views",3,1-2 hours,Waterfront restaurant with harbor views. Great for seafood and sunset dining.,,,,,"Amazing views! Reserve for sunset. Upstairs is fancier, downstairs more casual. Live music on weekends.",Mixed,"perfect_sunny,cool_sunny,partly_cloudy","perfect_sunny,cool_sunny,partly_cloudy",85,,Mixed,,checked,checked,1.20,
Laili Restaurant,Laili,"restaurant,afghan,dinner,local",3,1-2 hours,Exceptional Afghan cuisine in a beautiful setting. Warm hospitality and delicious food.,,,,,Reservations recommended for dinner. Try the Kabuli Palow and Aushak. Vegetarian options available.,Indoor,"light_rain,rainy,cool_sunny,cold,overcast,perfect_sunny","light_rain,rainy,cool_sunny,cold,overcast,perfect_sunny",,,Indoor,checked,,,1.20,
Akira,Akira,"restaurant,japanese,sushi,dinner",3,1-2 hours,Fresh sushi and Japanese cuisine. Local favorite for quality and consistency.,,,,,Omakase is excellent. Sit at the bar to watch chefs work. Reservations recommended for weekends.,Indoor,"light_rain,rainy,cool_sunny,cold,overcast,perfect_sunny,partly_cloudy","light_rain,rainy,cool_sunny,cold,overcast,perfect_sunny,partly_cloudy",,,Indoor,checked,,,1.10,
Picnic Basket,The Picnic Basket,"sandwiches,deli,lunch,local",2,30min-1 hour,Delicious sandwiches and deli fare. Perfect for beach picnics or quick lunch.,,,,,Order ahead on busy days. Great for beach picnics. Try the Nor Cal Chicken. Fresh ingredients!,Indoor,"perfect_sunny,cool_sunny,partly_cloudy,overcast,light_rain","perfect_sunny,cool_sunny,partly_cloudy,overcast,light_rain",,,Indoor,checked,,,1.00,
La Posta,La Posta,"restaurant,italian,dinner,local",3,1-2 hours,Excellent Italian restaurant with housemade pasta and wood-fired pizzas.,,,,,Reservations essential! Pasta is made in-house. Try the wood-fired pizzas. Excellent wine list.,Indoor,"light_rain,rainy,cool_sunny,cold,overcast,perfect_sunny","light_rain,rainy,cool_sunny,cold,overcast,perfect_sunny",,,Indoor,checked,,,1.20,
Zachary's,Zachary's,"breakfast,brunch,local,diner",2,30min-1 hour,"Classic breakfast spot. Big portions, friendly service, local favorite since 1983.",,,,,Expect a wait on weekends! Cash only. Huge portions. Try the Mike's Mess or Pacific Avenue Scramble.,Indoor,"light_rain,rainy,cool_sunny,cold,overcast,perfect_sunny,partly_cloudy","light_rain,rainy,cool_sunny,cold,overcast,perfect_sunny,partly_cloudy",,,Indoor,checked,,,1.00,
Pizza My Heart,Pizza My Heart,"pizza,casual,slices",2,30min-1 hour,Local pizza chain with huge slices. Late-night favorite.,,,,,Open late (til 2am Fri-Sat)! Huge slices. Try the pesto or BBQ chicken. Multiple locations.,Mixed,"perfect_sunny,cool_sunny,partly_cloudy,overcast,light_rain,rainy","perfect_sunny,cool_sunny,partly_cloudy,overcast,light_rain,rainy",,,Mixed,checked,,,0.90,
Pleasure Pizza,Pleasure Pizza,"pizza,beer,eastside,local",2,1 hour,Neighborhood pizza joint on the Eastside. Great pies and craft beer selection.,,,,,Try the Pleasure Special. Good beer selection. Outdoor patio. Family-friendly.,Mixed,"perfect_sunny,cool_sunny,partly_cloudy,overcast,light_rain","perfect_sunny,cool_sunny,partly_cloudy,overcast,light_rain",,,Mixed,checked,,,0.90,
Taqueria Vallarta,Taqueria Vallarta,"mexican,tacos,casual,cheap-eats",1,30min,"Authentic Mexican food. Great tacos, burritos, and super fresh ingredients.",,,,,Cash preferred at some locations. Super burrito is huge! Fresh salsa bar. Multiple locations throughout SC.,Indoor,"perfect_sunny,cool_sunny,partly_cloudy,overcast,light_rain,rainy,cold","perfect_sunny,cool_sunny,partly_cloudy,overcast,light_rain,rainy,cold",,,Indoor,checked,,,0.90,
El Palomar,El Palomar,"mexican,restaurant,upscale,patio",3,1-2 hours,Upscale Mexican restaurant with beautiful patio. Great margaritas and traditional dishes.,,,,,Beautiful patio for warm days. Try the mole. Margaritas are strong! Happy hour specials.,Mixed,"perfect_sunny,cool_sunny,partly_cloudy","perfect_sunny,cool_sunny,partly_cloudy",90,,Mixed,,,,1.10,
Kelly's French Bakery,Kelly's French Bakery,"bakery,cafe,breakfast,pastries",2,30min,"Authentic French bakery with amazing pastries, bread, and coffee.",,,,,Go early for best selection! Croissants are incredible. Pain au chocolat is a must. Great coffee too.,Indoor,"light_rain,rainy,cool_sunny,cold,overcast,perfect_sunny,partly_cloudy","light_rain,rainy,cool_sunny,cold,overcast,perfect_sunny,partly_cloudy",,,Indoor,checked,,,1.10,
Buttercup Cakes,Buttercup Cakes & Farmhouse Frosting,"bakery,cupcakes,dessert",2,15min,Delicious cupcakes and baked goods. Perfect for celebrations or treating yourself.,,,,,Order custom cakes ahead. Rotating cupcake flavors. Red velvet is classic. Check Instagram for daily flavors.,Indoor,"light_rain,rainy,cool_sunny,cold,overcast,perfect_sunny,partly_cloudy,hot_sunny","light_rain,rainy,cool_sunny,cold,overcast,perfect_sunny,partly_cloudy,hot_sunny",,,Indoor,checked,,,1.00,
Museum of Art & History (MAH),MAH,"museum,art,culture,indoor",2,1-2 hours,Local art and history museum with rotating exhibits. Community gathering space.,,,,,First Friday of month is free! Excellent rotating exhibits. Cafe inside. Check calendar for events.,Indoor,"light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny","light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny",,,Indoor,checked,,,1.20,
Santa Cruz Surfing Museum,Surfing Museum,"museum,surfing,history,ocean-views",1,30min-1 hour,Small museum celebrating surf history. Located in historic lighthouse with great views.,,,,,Free admission (donations welcome). Vintage boards and photos. Great views of Steamer Lane. Quick visit!,Indoor,"perfect_sunny,cool_sunny,partly_cloudy,overcast,foggy,windy","perfect_sunny,cool_sunny,partly_cloudy,overcast,foggy,windy",,,Indoor,checked,,,1.00,
Museum of Natural History,Santa Cruz Museum of Natural History,"museum,nature,family,indoor",1,1-2 hours,Natural history exhibits focusing on local ecology. Great for kids and nature lovers.,,,,,Touch tank with tide pool creatures! Skeleton of Gray Whale. Native plant garden. Kid-friendly.,Indoor,"light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy","light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy",,,Indoor,checked,,,1.00,
Bookshop Santa Cruz,Bookshop Santa Cruz,"bookstore,indie,local,shopping",2,30min-1 hour,"Beloved independent bookstore. Three floors of books, great staff picks, author events.",,,,,Support local! Great staff recommendations. Frequent author events. Cozy reading nooks.,Indoor,"light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny","light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny",,,Indoor,checked,,,1.00,
The Catalyst,The Catalyst,"music-venue,nightclub,bar,live-music",3,2-4 hours,Legendary live music venue. Major touring acts and local bands. Also nightclub nights.,,,,,Check calendar for shows. All ages for some shows. Dance floor gets packed. Historic venue!,Indoor,"light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny","light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny",,,Indoor,checked,,,1.10,
Rio Theatre,The Rio Theatre,"movie-theater,historic,cinema",2,2-3 hours,Historic art deco theater showing independent and classic films. Beautiful venue.,,,,,Beautiful restored theater. Independent films. Classic movie nights. Beer and wine available.,Indoor,"light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny","light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny",,,Indoor,checked,,,1.00,
Nickelodeon Theatre,Nickelodeon Theatre,"movie-theater,arthouse,cinema",2,2-3 hours,"Art house cinema showing independent, foreign, and documentary films.",,,,,Great for film lovers. Often shows films others don't. Comfortable seating. Downtown location.,Indoor,"light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny","light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny",,,Indoor,checked,,,0.90,
Boardwalk Arcade,Santa Cruz Beach Boardwalk Arcade,"arcade,games,indoor,family",2,1-2 hours,"Classic arcade games, modern games, and prizes. Part of the Boardwalk complex.",,,,,Rain day backup plan! Classic and modern games. Prize redemption. Can get loud and crowded.,Indoor,"light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny","light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny",,,Indoor,checked,,,1.00,
Pacific Avenue,Pacific Avenue,"shopping,downtown,walking",2,1-3 hours,"Main downtown shopping street with boutiques, cafes, and street performers.",,,,,Great for people watching. Lots of cafes and restaurants. Farmers market on Wednesdays. Street performers!,Outdoor,"perfect_sunny,cool_sunny,partly_cloudy","perfect_sunny,cool_sunny,partly_cloudy",85,,Outdoor,,,,1.00,
Capitola Village,Capitola Village,"shopping,beach-town,quaint,walking",2,2-3 hours,"Charming beach village with shops, restaurants, and beach. Very photogenic.",,,,,Super cute and colorful! Great for photos. Lots of restaurants. Small beach. Can be crowded in summer.,Mixed,"perfect_sunny,cool_sunny,partly_cloudy","perfect_sunny,cool_sunny,partly_cloudy",85,,Mixed,,,,1.20,
Mystery Spot,Mystery Spot,"tourist-attraction,weird,fun",3,45min-1 hour,Famous gravity-defying tourist attraction. Quirky and fun experience in redwood grove.,,,,,BOOK ONLINE - often sells out! Tours every 20-30 min. 45 min guided tour. Quirky fun. Great for kids and adults.,Mixed,"perfect_sunny,cool_sunny,partly_cloudy,overcast","perfect_sunny,cool_sunny,partly_cloudy,overcast",85,,Mixed,checked,,,1.10,
Roaring Camp Railroads,Roaring Camp Railroads,"train-ride,family,historic,redwoods",3,3 hours,Historic steam train rides through redwood forests. Santa Cruz Beach Train goes to Boardwalk.,,,,,Book ahead! Redwood route and Beach route. Beach train goes to Boardwalk. Great for kids. Bring jackets!,Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,overcast","perfect_sunny,cool_sunny,partly_cloudy,overcast",85,,Outdoor,,,,1.30,
The Crepe Place,The Crepe Place,"restaurant,bar,live-music,crepes",2,1-2 hours,"Eclectic restaurant with crepes, live music, and bohemian atmosphere.",,,,,Live music many nights. Outdoor garden seating. Creative crepes (sweet and savory). Full bar.,Mixed,"perfect_sunny,cool_sunny,partly_cloudy,overcast,light_rain","perfect_sunny,cool_sunny,partly_cloudy,overcast,light_rain",85,,Mixed,checked,,,1.00,
515 Kitchen & Cocktails,515 Kitchen & Cocktails,"cocktails,bar,restaurant,upscale",3,1-2 hours,Craft cocktails and upscale dining. Sophisticated atmosphere.,,,,,"Excellent cocktails. Small plates menu. Dim lighting, date night spot. Can be loud when busy.",Indoor,"light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy","light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy",,,Indoor,checked,,,1.00,
Blue Lagoon,Blue Lagoon,"bar,cocktails,lounge,nightlife",2,2-3 hours,Tropical-themed bar with strong drinks and fun atmosphere. Pool tables and arcade games.,,,,,Strong drinks! Pool tables and games. Gets packed on weekends. 21+ after 9pm. Tiki theme is fun.,Indoor,"light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny","light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny",,,Indoor,checked,,,0.90,
Motiv,Motiv,"nightclub,dancing,bar,nightlife",3,3-4 hours,"Nightclub with dancing, DJs, and events. Santa Cruz's main dance club.",,,,,21+ only. Check event calendar. Dance floor gets packed. Drink specials. Dress code enforced.,Indoor,"light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny","light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny",,,Indoor,checked,,,0.90,
Harbor Beach,Harbor Beach,"kayaking,beach,harbor,water-sports",2,2-4 hours,Launch point for kayaking and stand-up paddleboarding. Calm harbor waters.,,,,,Calm waters perfect for beginners. Kayak rentals nearby. See harbor seals and sea otters! Low tide reveals tide pools.,Outdoor,"perfect_sunny,cool_sunny,partly_cloudy","perfect_sunny,cool_sunny,partly_cloudy",85,,Outdoor,,checked,checked,1.20,
Seacliff State Beach,Seacliff State Beach,"beach,pier,fishing,family",2,2-4 hours,"Beach with fishing pier (the cement ship!). Great for families, less crowded than main beaches.",,,,,The pier is built on a concrete ship! Fishing allowed on pier. Tide pools at low tide. Picnic areas.,Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,hot_sunny","perfect_sunny,cool_sunny,partly_cloudy,hot_sunny",90,,Outdoor,,checked,,1.10,
Lighthouse Field State Beach,Lighthouse Field,"park,walking,ocean-views,free",0,1-2 hours,Bluff-top park with trails and ocean views. Near lighthouse and Steamer Lane.,,,,,Great views of surfers at Steamer Lane. Trails through coastal scrub. Often windy! Sunset spot.,Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,overcast,windy","perfect_sunny,cool_sunny,partly_cloudy,overcast,windy",85,,Outdoor,checked,checked,checked,1.00,
Farmers Markets,Santa Cruz Farmers Markets,"farmers-market,local,food,community",1,1-2 hours,"Multiple farmers markets weekly. Fresh local produce, food vendors, live music.",,,,,Wednesday Downtown is largest. Live music. Great produce. Food vendors. Bring reusable bags!,Outdoor,"perfect_sunny,cool_sunny,partly_cloudy","perfect_sunny,cool_sunny,partly_cloudy",85,,Outdoor,,checked,,1.10,
Pacific Edge Climbing Gym,Pacific Edge,"rock-climbing,indoor,fitness,gym",3,2-3 hours,Premier indoor climbing gym with bouldering and top-rope climbing. All skill levels welcome.,,,,,Day passes available. Gear rentals. Classes for beginners. Great community. Bouldering and rope climbing.,Indoor,"light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny","light_rain,rainy,cool_sunny,cold,overcast,foggy,perfect_sunny,partly_cloudy,hot_sunny",,,Indoor,checked,,,1.00,
Derby Park Skate Park,Derby Park,"skateboarding,free,outdoor,skate",0,1-3 hours,Free public skate park. Street and bowl sections. Popular with local skaters.,,,,,Free! Bring your own gear. Can be crowded after school. Bowl and street sections. Helmets recommended.,Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,overcast","perfect_sunny,cool_sunny,partly_cloudy,overcast",90,,Outdoor,,checked,,0.90,
